Fragment,# Voices,Voice 0,Voice 1,Voice 2,Voice 3,Voice 4 (F),Voice 5,Voice 6 (F),Voice 7,Voice 8,Voice 9,Voice 10,Voice 11,Voice 12 (F),Voice 13,Summary,Eval
387,12,Angels 5,Angels 5,Angels 5,Angels 5,Angels 5,Angels 5,Angels 5,Angels 5,Angels 5,Angels 5,Angels 5,Angels 5,,,Angels 5,8
388,12,Angels 6,Angels 6,Angels 6,Angels 6,Angels 6,Angels 6,Angels 6,Angels 6,Angels 6,Angels 6,Angels 6,Angels 6,,,Angels 6,8
389,12,Angels 7,Angels 7,Angels 7,Angels 7,Angels 7,Angels 7,Angels 7,Angels 7,Angels 7,Angels 7,Angels 7,Angels 7,,,Angels 7,8
390,12,Angels 8,Angels 8,Angels 8,Angels 8,Angels 8,Angels 8,Angels 8,Angels 8,Angels 8,Angels 8,Angels 8,Angels 8,,,Angels 8,8
391,12,Angels 9,Angels 9,Angels 9,Angels 9,Angels 9,Angels 9,Angels 9,Angels 9,Angels 9,Angels 9,Angels 9,Angels 9,,,Angels 9,8
392,12,Angels 10,Angels 10,Angels 10,Angels 10,Angels 10,Angels 10,Angels 10,Angels 10,Angels 10,Angels 10,Angels 10,Angels 10,,,Angels 10,8
393,12,Angels 11,Angels 11,Angels 11,Angels 11,Angels 11,Angels 11,Angels 11,Angels 11,Angels 11,Angels 11,Angels 11,Angels 11,,,Angels 11,8
394,12,Angels 12,Angels 12,Angels 12,Angels 12,Angels 12,Angels 12,Angels 12,Angels 12,Angels 12,Angels 12,Angels 12,Angels 12,,,Angels 12,8
395,12,Angels 13,Angels 13,Angels 13,Angels 13,Angels 13,Angels 13,Angels 13,Angels 13,Angels 13,Angels 13,Angels 13,Angels 13,,,Angels 13,8
396,12,Angels 14,Angels 14,Angels 14,Angels 14,Angels 14,Angels 14,Angels 14,Angels 14,Angels 14,Angels 14,Angels 14,Angels 14,,,Angels 14,8
397,12,Angels 15,Angels 15,Angels 15,Angels 15,Angels 15,Angels 15,Angels 15,Angels 15,Angels 15,Angels 15,Angels 15,Angels 15,,,Angels 15,8
398,12,Angels 16,Angels 16,Angels 16,Angels 16,Angels 16,Angels 16,Angels 16,Angels 16,Angels 16,Angels 16,Angels 16,Angels 16,,,Angels 16,8
399,12,Angels 17,Angels 17,Angels 17,Angels 17,Angels 17,Angels 17,Angels 17,Angels 17,Angels 17,Angels 17,Angels 17,Angels 17,,,Angels 17,8
400,12,Angels 18,Angels 18,Angels 18,Angels 18,Angels 18,Angels 18,Angels 18,Angels 18,Angels 18,Angels 18,Angels 18,Angels 18,,,Angels 18,8
401,12,Angels 19,Angels 19,Angels 19,Angels 19,Angels 19,Angels 19,Angels 19,Angels 19,Angels 19,Angels 19,Angels 19,Angels 19,,,Angels 19,8
402,12,Angels 20,Angels 20,Angels 20,Angels 20,Angels 20,Angels 20,Angels 20,Angels 20,Angels 20,Angels 20,Angels 20,Angels 20,,,Angels 20,8
403,12,Angels 21,Angels 21,Angels 21,Angels 21,Angels 21,Angels 21,Angels 21,Angels 21,Angels 21,Angels 21,Angels 21,Angels 21,,,Angels 21,8
404,12,Angels 22,Angels 22,Angels 22,Angels 22,Angels 22,Angels 22,Angels 22,Angels 22,Angels 22,Angels 22,Angels 22,Angels 22,,,Angels 22,8
405,12,Angels 23,Angels 23,Angels 23,Angels 23,Angels 23,Angels 23,Angels 23,Angels 23,Angels 23,Angels 23,Angels 23,Angels 23,,,Angels 23,8
406,12,Angels 24,Angels 24,Angels 24,Angels 24,Angels 24,Angels 24,Angels 24,Angels 24,Angels 24,Angels 24,Angels 24,Angels 24,,,Angels 24,8
407,12,Angels 25,Angels 25,Angels 25,Angels 25,Angels 25,Angels 25,Angels 25,Angels 25,Angels 25,Angels 25,Angels 25,Angels 25,,,Angels 25,8
408,12,Angels 26,Angels 26,Angels 26,Angels 26,Angels 26,Angels 26,Angels 26,Angels 26,Angels 26,Angels 26,Angels 26,Angels 26,,,Angels 26,8
409,12,Angels 27,Angels 27,Angels 27,Angels 27,Angels 27,Angels 27,Angels 27,Angels 27,Angels 27,Angels 27,Angels 27,Angels 27,,,Angels 27,8
410,12,Angels 28,Angels 28,Angels 28,Angels 28,Angels 28,Angels 28,Angels 28,Angels 28,Angels 28,Angels 28,Angels 28,Angels 28,,,Angels 28,8
411,12,Angels 29,Angels 29,Angels 29,Angels 29,Angels 29,Angels 29,Angels 29,Angels 29,Angels 29,Angels 29,Angels 29,Angels 29,,,Angels 29,8
412,12,Angels 30,Angels 30,Angels 30,Angels 30,Angels 30,Angels 30,Angels 30,Angels 30,Angels 30,Angels 30,Angels 30,Angels 30,,,Angels 30,8
413,12,Angels 31,Angels 31,Angels 31,Angels 31,Angels 31,Angels 31,Angels 31,Angels 31,Angels 31,Angels 31,Angels 31,Angels 31,,,Angels 31,8
414,12,Angels 32,Angels 32,Angels 32,Angels 32,Angels 32,Angels 32,Angels 32,Angels 32,Angels 32,Angels 32,Angels 32,Angels 32,,,Angels 32,8
415,12,Angels 33,Angels 33,Angels 33,Angels 33,Angels 33,Angels 33,Angels 33,Angels 33,Angels 33,Angels 33,Angels 33,Angels 33,,,Angels 33,8
416,12,Angels 34,Angels 34,Angels 34,Angels 34,Angels 34,Angels 34,Angels 34,Angels 34,Angels 34,Angels 34,Angels 34,Angels 34,,,Angels 34,8
417,12,Angels 35,Angels 35,Angels 35,Angels 35,Angels 35,Angels 35,Angels 35,Angels 35,Angels 35,Angels 35,Angels 35,Angels 35,,,Angels 35,8
418,12,Angels 36,Angels 36,Angels 36,Angels 36,Angels 36,Angels 36,Angels 36,Angels 36,Angels 36,Angels 36,Angels 36,Angels 36,,,Angels 36,8
419,12,Angels 37,Angels 37,Angels 37,Angels 37,Angels 37,Angels 37,Angels 37,Angels 37,Angels 37,Angels 37,Angels 37,Angels 37,,,Angels 37,8
420,12,Angels 38,Angels 38,Angels 38,Angels 38,Angels 38,Angels 38,Angels 38,Angels 38,Angels 38,Angels 38,Angels 38,Angels 38,,,Angels 38,8
421,12,Angels 39,Angels 39,Angels 39,Angels 39,Angels 39,Angels 39,Angels 39,Angels 39,Angels 39,Angels 39,Angels 39,Angels 39,,,Angels 39,8
422,12,Angels 40,Angels 40,Angels 40,Angels 40,Angels 40,Angels 40,Angels 40,Angels 40,Angels 40,Angels 40,Angels 40,Angels 40,,,Angels 40,8
423,12,Angels 45,Angels 45,Angels 45,Angels 45,Angels 45,Angels 45,Angels 45,Angels 45,Angels 45,Angels 45,Angels 45,Angels 45,,,Angels 45,8
424,12,Angels 50,Angels 50,Angels 50,Angels 50,Angels 50,Angels 50,Angels 50,Angels 50,Angels 50,Angels 50,Angels 50,Angels 50,,,Angels 50,8
425,12,Angels 60,Angels 60,Angels 60,Angels 60,Angels 60,Angels 60,Angels 60,Angels 60,Angels 60,Angels 60,Angels 60,Angels 60,,,Angels 60,8
426,12,Angels 70,Angels 70,Angels 70,Angels 70,Angels 70,Angels 70,Angels 70,Angels 70,Angels 70,Angels 70,Angels 70,Angels 70,,,Angels 70,8
427,12,Angels 80,Angels 80,Angels 80,Angels 80,Angels 80,Angels 80,Angels 80,Angels 80,Angels 80,Angels 80,Angels 80,Angels 80,,,Angels 80,8
428,12,Angels 90,Angels 90,Angels 90,Angels 90,Angels 90,Angels 90,Angels 90,Angels 90,Angels 90,Angels 90,Angels 90,Angels 90,,,Angels 90,8
429,12,mickey,fence check,standby mickey,checklist complete,authenticate,master arm on,armed,echo,go active,go clear,go secure,Hotel Fox,,,,9
430,12,radio check,check,frequency check,check,radio check,check,radio check,radio check,radio check,radio check,radio check,radio check,,,,9
431,12,strangle the parrot,squawk,tumbleweed,words,working,alpha check,brevity,broadcast,chatter mark,gadget well,victor,working,,,,9
432,12,fence check,armed,echo,fence check,armed,echo,alpha check,fence check,armed,echo,fence check,alpha check,,,,9
433,12,line abreast,line abreast,line abreast,line abreast,line abreast,line abreast,line abreast,line abreast,line abreast,line abreast,line abreast,line abreast,,,line abreast,10
434,12,wedge,wedge,wedge,wedge,wedge,wedge,wedge,wedge,wedge,wedge,wedge,wedge,,,wedge,10
435,12,trail,trail,trail,trail,trail,trail,trail,trail,trail,trail,trail,trail,,,trail,10
436,12,shooter shooter,shooter shooter,shooter shooter,shooter shooter,shooter shooter,shooter shooter,shooter shooter,shooter shooter,shooter shooter,shooter shooter,shooter shooter,shooter shooter,,,shooter shooter,11
437,12,shooter cover,shooter cover,shooter cover,shooter cover,shooter cover,shooter cover,shooter cover,shooter cover,shooter cover,shooter cover,shooter cover,shooter cover,,,shooter cover,11
438,14,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,0-1-5,12
439,14,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,0-3-0,12
440,14,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,12
441,14,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,12
442,14,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,12
443,14,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,12
444,14,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,12
445,14,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,12
446,14,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,12
447,14,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,12
448,14,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,12
449,14,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,12
450,14,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,12
451,14,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,12
452,14,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,12
453,14,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,12
454,14,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,12
455,14,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,12
456,14,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,12
457,14,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,12
458,14,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,12
459,14,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,12
460,14,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,12
461,14,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,12
462,12,forward,forward,forward,forward,forward,forward,forward,forward,forward,forward,forward,forward,,,forward,13
463,12,back,back,back,back,back,back,back,back,back,back,back,back,,,back,13
464,12,up,up,up,up,up,up,up,up,up,up,up,up,,,up,13
465,12,down,down,down,down,down,down,down,down,down,down,down,down,,,down,13
466,12,right,right,right,right,right,right,right,right,right,right,right,right,,,right,13
467,12,break left,break left,break left,break left,break left,break left,break left,break left,break left,break left,break left,break left,,,break left,14
468,12,"break left, missile","break left, missile","break left, missile","break left, missile","break left, missile","break left, missile","break left, missile","break left, missile","break left, missile","break left, missile","break left, missile","break left, missile",,,"break left, missile",14
469,12,"jink left, guns","jink left, guns","jink left, guns","jink left, guns","jink left, guns","jink left, guns","jink left, guns","jink left, guns","jink left, guns","jink left, guns","jink left, guns","jink left, guns",,,"jink left, guns",14
470,12,break right,break right,break right,break right,break right,break right,break right,break right,break right,break right,break right,break right,,,break right,14
471,12,"break right, missile","break right, missile","break right, missile","break right, missile","break right, missile","break right, missile","break right, missile","break right, missile","break right, missile","break right, missile","break right, missile","break right, missile",,,"break right, missile",14
472,12,"jink right, guns","jink right, guns","jink right, guns","jink right, guns","jink right, guns","jink right, guns","jink right, guns","jink right, guns","jink right, guns","jink right, guns","jink right, guns","jink right, guns",,,"jink right, guns",14
473,12,break high,break high,break high,break high,break high,break high,break high,break high,break high,break high,break high,break high,,,break high,14
474,12,break low,break low,break low,break low,break low,break low,break low,break low,break low,break low,break low,break low,,,break low,14
475,14,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,Amber,
476,14,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,Avenger,
477,14,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,Banshee,
478,14,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,
479,14,Beast,Beast,Beast,Beast,Beast,Beast,Beast,Beast,Beast,Beast,Beast,Beast,Beast,Beast,Beast,
480,14,Bison,Bison,Bison,Bison,Bison,Bison,Bison,Bison,Bison,Bison,Bison,Bison,Bison,Bison,Bison,
481,14,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,Blackhawk,
482,14,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,Blackjack,
483,14,Blade,Blade,Blade,Blade,Blade,Blade,Blade,Blade,Blade,Blade,Blade,Blade,Blade,Blade,Blade,
484,14,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,Blazer,
485,14,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,
486,14,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,Boxer,
487,14,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,Bronco,
488,14,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,Buckskin,
489,14,Buff,Buff,Buff,Buff,Buff,Buff,Buff,Buff,Buff,Buff,Buff,Buff,Buff,Buff,Buff,
490,14,Bull,Bull,Bull,Bull,Bull,Bull,Bull,Bull,Bull,Bull,Bull,Bull,Bull,Bull,Bull,
491,14,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,Bulldog,
492,14,Bug,Bug,Bug,Bug,Bug,Bug,Bug,Bug,Bug,Bug,Bug,Bug,Bug,Bug,Bug,
493,14,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,Buzzard,
494,14,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,Buzzsaw,
495,14,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,Cajun,
496,14,Camel,Camel,Camel,Camel,Camel,Camel,Camel,Camel,Camel,Camel,Camel,Camel,Camel,Camel,Camel,
497,14,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,Canteen,
498,14,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,Chalice,
499,14,Charger,Charger,Charger,Charger,Charger,Charger,Charger,Charger,Charger,Charger,Charger,Charger,Charger,Charger,Charger,
500,14,Checker,Checker,Checker,Checker,Checker,Checker,Checker,Checker,Checker,Checker,Checker,Checker,Checker,Checker,Checker,
501,14,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,Cheetah,
502,14,Claw,Claw,Claw,Claw,Claw,Claw,Claw,Claw,Claw,Claw,Claw,Claw,Claw,Claw,Claw,
503,14,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,Cobra,
504,14,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,Copper,
505,14,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,Cougar,
506,14,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,Cowboy,
507,14,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,Crimson,
508,14,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,Cyborg,
509,14,Dart,Dart,Dart,Dart,Dart,Dart,Dart,Dart,Dart,Dart,Dart,Dart,Dart,Dart,Dart,
510,14,Devil,Devil,Devil,Devil,Devil,Devil,Devil,Devil,Devil,Devil,Devil,Devil,Devil,Devil,Devil,
511,14,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,
512,14,Dog,Dog,Dog,Dog,Dog,Dog,Dog,Dog,Dog,Dog,Dog,Dog,Dog,Dog,Dog,
513,14,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,Dolphin,
514,14,Doom,Doom,Doom,Doom,Doom,Doom,Doom,Doom,Doom,Doom,Doom,Doom,Doom,Doom,Doom,
515,14,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,Dragnet,
516,14,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,Dragon,
517,14,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,Eagle,
518,14,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,Elvis,
519,14,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,Falcon,
520,14,Fist,Fist,Fist,Fist,Fist,Fist,Fist,Fist,Fist,Fist,Fist,Fist,Fist,Fist,Fist,
521,14,Fury,Fury,Fury,Fury,Fury,Fury,Fury,Fury,Fury,Fury,Fury,Fury,Fury,Fury,Fury,
522,14,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,Gamble,
523,14,Gator,Gator,Gator,Gator,Gator,Gator,Gator,Gator,Gator,Gator,Gator,Gator,Gator,Gator,Gator,
524,14,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,Gauntlet,
525,14,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,Ghost,
526,14,Glass,Glass,Glass,Glass,Glass,Glass,Glass,Glass,Glass,Glass,Glass,Glass,Glass,Glass,Glass,
527,14,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,Gunhog,
528,14,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,Gypsy,
529,14,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,Hammer,
530,14,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,Harrier,
531,14,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,Hawk,
532,14,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,Hawkeye,
533,14,Hog,Hog,Hog,Hog,Hog,Hog,Hog,Hog,Hog,Hog,Hog,Hog,Hog,Hog,Hog,
534,14,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,Hornet,
535,14,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,Hostage,
536,14,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,Hunter,
537,14,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,Intruder,
538,14,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,Jackal,
539,14,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,Jaguar,
540,14,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,Jolly,
541,14,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,Jumbo,
542,14,Jump,Jump,Jump,Jump,Jump,Jump,Jump,Jump,Jump,Jump,Jump,Jump,Jump,Jump,Jump,
543,14,Knight,Knight,Knight,Knight,Knight,Knight,Knight,Knight,Knight,Knight,Knight,Knight,Knight,Knight,Knight,
544,14,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,Lancer,
545,14,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,Lightning,
546,14,Lion,Lion,Lion,Lion,Lion,Lion,Lion,Lion,Lion,Lion,Lion,Lion,Lion,Lion,Lion,
547,14,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,Lobo,
548,14,Mack,Mack,Mack,Mack,Mack,Mack,Mack,Mack,Mack,Mack,Mack,Mack,Mack,Mack,Mack,
549,14,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,Magnet,
550,14,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,Mauler,
551,14,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,Mohawk,
552,14,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,Mongo,
553,14,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,Mudhen,
554,14,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,Mustang,
555,14,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,Nighthawk,
556,14,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,Nightmare,
